"device_ID","session_start_timeStamp","focal_start_timeStamp","scan_timeStamp","scanVars","Cloud Cover","Rain"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,21:12:44","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,21:42:44","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,21:42:44","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,16:17:28","2019-07-12,16:17:48","2019-07-12,16:17:48","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,16:17:28","2019-07-12,16:17:48","2019-07-12,16:17:48","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,18:54:03","2019-07-12,18:54:19","2019-07-12,18:54:19","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,18:54:03","2019-07-12,18:54:19","2019-07-12,18:54:19","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,18:54:03","2019-07-12,18:54:19","2019-07-12,19:54:19","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,18:54:03","2019-07-12,18:54:19","2019-07-12,19:54:19","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","2019-07-12,19:59:26","2019-07-12,19:59:26","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","2019-07-12,19:59:26","2019-07-12,19:59:26","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","2019-07-12,19:59:26","2019-07-12,20:29:26","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","2019-07-12,19:59:26","2019-07-12,20:29:26","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","2019-07-12,19:59:26","2019-07-12,20:59:26","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","2019-07-12,19:59:26","2019-07-12,20:59:26","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","2019-07-12,19:59:26","2019-07-12,21:29:27","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","2019-07-12,19:59:26","2019-07-12,21:29:27","Precipitation",,
