"","timestamp","Region1_total","Region2_total","Region3_total","Region1_visible","Region1_hidden","Region2_visible","Region2_hidden","Region3_visible","Region3_hidden","Study_night","Kinkajou_Notes","Video_Notes"
"243",2019-12-17 21:19:09,1,0,0,1,0,0,0,0,0,3,NA,NA
"244",2019-12-17 21:20:09,0,1,0,0,0,1,0,0,0,3,"no video 30:58",NA
"245",2019-12-17 21:21:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"246",2019-12-17 21:22:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"247",2019-12-17 21:23:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"248",2019-12-17 21:24:09,0,1,0,0,0,1,0,0,0,3,"video back 34:31, leaves tree lower left corner r2",NA
"249",2019-12-17 21:25:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"250",2019-12-17 21:26:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"251",2019-12-17 21:27:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"252",2019-12-17 21:28:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"253",2019-12-17 21:29:09,1,0,0,1,0,0,0,0,0,3,"entering tree over main branch",NA
"254",2019-12-17 21:30:09,0,0,1,0,0,0,0,1,0,3,NA,NA
"255",2019-12-17 21:31:09,0,0,1,0,0,0,0,1,0,3,NA,NA
"256",2019-12-17 21:32:09,0,0,1,0,0,0,0,1,0,3,"jump from tree 42:58",NA
"257",2019-12-17 21:33:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"258",2019-12-17 21:34:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"259",2019-12-17 21:35:09,0,1,0,0,0,1,0,0,0,3,NA,NA
"260",2019-12-17 21:36:09,0,1,0,0,0,1,0,0,0,3,NA,NA
"261",2019-12-17 21:37:09,1,0,0,1,0,0,0,0,0,3,"no video 47:49",NA
"262",2019-12-17 21:38:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"263",2019-12-17 21:39:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"264",2019-12-17 21:40:09,1,0,0,1,0,0,0,0,0,3,"video back 50:35",NA
"265",2019-12-17 21:41:09,1,0,0,1,0,0,0,0,0,3,NA,NA
"266",2019-12-17 21:42:09,1,0,0,1,0,0,0,0,0,3,NA,NA
"267",2019-12-17 21:43:09,0,1,0,0,0,1,0,0,0,3,NA,NA
"268",2019-12-17 21:44:09,0,0,1,0,0,0,0,1,0,3,NA,NA
"269",2019-12-17 21:45:09,0,0,1,0,0,0,0,1,0,3,"jump from tree 55:43 same spot as before",NA
"270",2019-12-17 21:46:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"271",2019-12-17 21:47:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"272",2019-12-17 21:48:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"273",2019-12-17 21:49:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"274",2019-12-17 21:50:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"275",2019-12-17 21:51:09,0,0,0,0,0,0,0,0,0,3,NA,NA
